achillea-millefolium|Consult with a healthcare professional before using yarrow for medicinal purposes
achillea-millefolium|Do not use yarrow if you are allergic to it or other members of the Asteraceae family
achillea-millefolium|Use only fresh, dried yarrow that has been properly identified and sourced
achillea-millefolium|Dilute yarrow extracts with water before use
achillea-millefolium|Do not exceed recommended dosages of yarrow
achillea-millefolium|Keep yarrow out of reach of children and pets
achillea-millefolium|Store yarrow in a cool, dry place away from direct sunlight
achillea-millefolium|Dispose of unused yarrow properly to avoid contamination
achillea-millefolium|Wash your hands before and after handling yarrow to prevent infection
achillea-millefolium|Consult with a healthcare professional if you experience any adverse reactions while using yarrow
acorus-calamus|Consult a physician before using sweet flag
acorus-calamus|Do not use sweet flag if pregnant or breastfeeding
acorus-calamus|Avoid sweet flag if allergic to it
acorus-calamus|Use only fresh sweet flag for medicinal purposes
acorus-calamus|Use sweet flag in small doses
acorus-calamus|Store sweet flag properly to maintain potency
acorus-calamus|Do not use sweet flag if you have a bleeding disorder
acorus-calamus|Be cautious when using sweet flag with other medications
acorus-calamus|Avoid sweet flag if you have liver problems or a history of alcohol abuse
acorus-calamus|Stop using sweet flag and consult a physician if symptoms worsen
aesculus-hippocastanum|Do not eat raw horse chestnuts
aesculus-hippocastanum|Dosage should be carefully calculated
aesculus-hippocastanum|May cause skin irritation
aesculus-hippocastanum|Consult with a healthcare professional before use
aesculus-hippocastanum|Not recommended for pregnant or breastfeeding women
aesculus-hippocastanum|May interact with certain medications
aesculus-hippocastanum|Do not ingest horse chestnut seeds or bark
aesculus-hippocastanum|May cause allergic reactions in some people
aesculus-hippocastanum|Long-term use can lead to dependency
aesculus-hippocastanum|Always use high-quality, fresh horse chestnuts
allium-sativum|Consult with a healthcare professional before using garlic for medicinal purposes
allium-sativum|Garlic should be taken in moderation
allium-sativum|Garlic can interact with some medications, such as blood thinners and diabetes drugs
allium-sativum|Garlic may cause adverse effects in people with certain medical conditions, such as kidney or liver disease
allium-sativum|Garlic should not be used to treat serious health problems without consulting a healthcare professional
allium-sativum|Garlic is not a substitute for proper medical care
allium-sativum|Garlic should be taken with food to minimize adverse effects
allium-sativum|Garlic may cause digestive issues in some people, such as bloating or gas
allium-sativum|Garlic can be allergenic and cause skin reactions in some individuals
allium-sativum|Garlic should not be used by pregnant or breastfeeding women without consulting a healthcare professional
aloe-vera|Don't ingest aloe vera
aloe-vera|Apply topically only
aloe-vera|Use only fresh aloe vera
aloe-vera|Avoid sunburned aloe vera
aloe-vera|Consult a healthcare provider before use
aloe-vera|Stop using aloe vera if it causes irritation
aloe-vera|Wash hands thoroughly after use
aloe-vera|Don't mix aloe vera with other medications
aloe-vera|Discard used aloe vera gel
aloe-vera|Store aloe vera in a cool, dry place
alpinia-officinarum|Consult with a healthcare professional before using galangal
alpinia-officinarum|Do not use galangal if you have certain health conditions
alpinia-officinarum|Start with a low dose and gradually increase it
alpinia-officinarum|Take galangal orally only as directed
alpinia-officinarum|Do not mix galangal with other medications
alpinia-officinarum|Keep galangal away from children and pets
alpinia-officinarum|Use caution when driving after taking galangal
alpinia-officinarum|Store galangal in a cool, dry place
alpinia-officinarum|Dispose of used galangal properly
alpinia-officinarum|Follow proper dosage instructions for specific ailments
ammi-visnaga|Consult a doctor before using visnaga for medicinal purposes
ammi-visnaga|Keep the dosage of visnaga under control
ammi-visnaga|Avoid using visnaga if you are allergic to it
ammi-visnaga|Use only high-quality visnaga
ammi-visnaga|Store visnaga properly
ammi-visnaga|Mix visnaga with water before taking it
